Invoice Number,Memo Line,Project Number,Task,VAT Rate Code,CM Number,New Invoice Number
INV00583863,Entertainer Permit,4511000037,Entertainer Permit,VAT OUTPUT - OSC,INV00583863CM,45110096148
INV00583863,Revenue fees from Urgent request,4511000037,Urgent requests,VAT OUTPUT - STD,INV00583863CM,45110096148
INV00584150,Entertainer Permit,4511000037,Entertainer Permit,VAT OUTPUT - OSC,INV00584150CM,45100250002
INV00584150,Revenue fees from Urgent request,4511000037,Urgent requests,VAT OUTPUT - STD,INV00584150CM,45100250002
INV00585046,Event Permit,4511000037,Event Permit,VAT OUTPUT - OSC,INV00585046CM,45110096152
INV00585046,Public speaker permit,4511000037,Public Speaker Permit,VAT OUTPUT - OSC,INV00585046CM,45110096152
INV00585046,Revenue fees from Urgent request,4511000037,Urgent requests,VAT OUTPUT - STD,INV00585046CM,45110096152
INV00583744,Event Permit,4511000037,Event Permit,VAT OUTPUT - OSC,INV00583744CM,45110096154
INV00583744,Public speaker permit,4511000037,Public Speaker Permit,VAT OUTPUT - OSC,INV00583744CM,45110096154
INV00583744,Revenue fees from Urgent request,4511000037,Urgent requests,VAT OUTPUT - STD,INV00583744CM,45110096154
INV00583821,Event Permit,4511000037,Event Permit,VAT OUTPUT - OSC,45110096155,45110096160
INV00583821,Revenue fees from Urgent request,4511000037,Urgent requests,VAT OUTPUT - STD,45110096155,45110096160
INV00584156,Event Permit,4511000037,Event Permit,VAT OUTPUT - OSC,45110096156,45110096165
INV00584156,Public speaker permit,4511000037,Public Speaker Permit,VAT OUTPUT - OSC,45110096156,45110096165
INV00584156,Revenue fees from Urgent request,4511000037,Urgent requests,VAT OUTPUT - STD,45110096156,45110096165
INV00584992,Entertainer Permit,4511000037,Entertainer Permit,VAT OUTPUT - OSC,45110096158,45110096161
INV00584992,Revenue fees from Urgent request,4511000037,Urgent requests,VAT OUTPUT - STD,45110096158,45110096161
INV00583637,Private Party Permit,4511000037,Private Party Permit,VAT OUTPUT - OSC,45110096157,45110096163
INV00583637,Revenue fees from Urgent request,4511000037,Urgent requests,VAT OUTPUT - STD,45110096157,45110096163
INV00584064,Event Permit,4511000037,Event Permit,VAT OUTPUT - OSC,45110096164,45110096166
INV00584064,Revenue fees from Urgent request,4511000037,Urgent requests,VAT OUTPUT - STD,45110096164,45110096166
INV00584327,Public speaker permit,4511000037,Public Speaker Permit,VAT OUTPUT - OSC,45110096159,45110096162
INV00584327,Revenue fees from Urgent request,4511000037,Urgent requests,VAT OUTPUT - STD,45110096159,45110096162
