loggedAt,username,action,objectType,objectId,status,error
2026-06-13T00:45:08,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-13T00:44:56,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:44:43,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:44:34,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-13T00:44:22,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:43:47,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:42:42,AYESHA.AMERI,LOGIN,,,SUCCESS,
2026-06-13T00:40:56,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-13T00:40:23,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-13T00:40:08,UAT.AUTOTEST1,LOGIN,DCT_USERS,UAT.AUTOTEST1,FAILURE,Account is inactive
2026-06-13T00:39:15,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-13T00:38:19,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-13T00:38:07,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-13T00:36:36,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:36:22,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:36:02,UAT.INACTIVE1,LOGIN,DCT_USERS,UAT.INACTIVE1,FAILURE,User not found
2026-06-13T00:35:57,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:35:54,ADMIN,LOGIN,DCT_USERS,ADMIN,FAILURE,Invalid credentials
2026-06-13T00:35:45,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:35:33,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:34:47,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:33:38,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:31:56,ADMIN,SESSIONS_REVOKED,DCT_SESSIONS,UAT.AUTOTEST1,SUCCESS,
2026-06-13T00:31:50,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-13T00:27:33,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-13T00:27:11,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:26:13,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:25:33,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:22:13,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:19:25,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-13T00:15:03,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:14:54,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-13T00:14:49,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:14:40,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:13:42,ADMIN,LOGIN,,,SUCCESS,
2026-06-13T00:13:01,ADMIN,LOGIN,,,SUCCESS,
