Group,Account Type,Chapter,New Project Name,,
100103,Payroll,Chapter 1,,,
200104,Opex,Chapter 2,,,
300105,Capex,Chapter 3,,,
200990,Opex,Chapter 2,,,
438,Stimulus,Stimulus,,,
440,Stimulus,Stimulus,,,
442,Stimulus,Stimulus,,,
600232,CWIP,Chapter 6,,,
200657,Opex,Chapter 2,,,
200776,Opex,Chapter 2,,,
879,Stimulus,Stimulus,,,
100905,Payroll,Chapter 1,,,
200989,Opex,Chapter 2,,,
200906,Opex,Chapter 2,,,
300658,Capex,Chapter 3,,,
300907,Capex,Chapter 3,,,
201080,Opex,Chapter 2,,,
201004,Opex,Chapter 2,,,
301005,Capex,Chapter 3,,,
201096,Opex,Chapter 2,,,
201098,Opex,Chapter 2,,,
301099,Capex,Chapter 3,,,
201128,Opex,Chapter 2,,,
201182,Opex,Chapter 2,,,
250042,Opex,Chapter 2,,,
250043,Opex,Chapter 2,,,
250044,Opex,Chapter 2,,,
350045,Capex,Chapter 3,,,
350046,Capex,Chapter 3,,,
201257,Opex,chapter 2,NBA,,
201776,Opex,chapter 2,al Dafra ,,
201906,Opex,chapter 2,Berklee,,
301907,Capex,Chapter 3,Berklee,,
201350,Opex,chapter 2,,,
301439,Capex,Chapter 3,,,
201450,Opex,Chapter 2,,,
301451,Capex,Chapter 3,,,
201458,Opex,Chapter 2,,,
50397,Opex,Chapter 2,,,
201502,Opex,Chapter 2,,,
101553,Payroll,Chapter 1,Gaming,,
201554,Opex,Chapter 2,Gaming,,
301555,Capex,Chapter 3,Gaming,,
201632,Opex,Chapter 2,,,
201644,Opex,Chapter 2,,,
201678,Opex,Chapter 2,,,
201736,Opex,Chapter 2,,,
301737,Capex,Chapter 3,,,
201746,Opex,Chapter 2,,,
201760,Opex,Chapter 2,,,
201761,Opex,Chapter 2,,,
201763,Opex,Chapter 2,,,
301762,Capex,Chapter 3,,,
50727,Capex,Chapter 3,Startegic projects - NHM,,
50731,Opex,Chapter 2,Startegic projects - PAAD,,
50723,Opex,Chapter 2,Startegic projects - UFC,,
50729,Opex,Chapter 2,Startegic projects - NBA,,
50730,Opex,Chapter 2,Startegic projects - Culinary Fund,,
50728,Opex,Chapter 2,Startegic projects - Al Ain Destination,,
101832,Payroll,Chapter 1,AFH Q1,,
201833,Opex,Chapter 2,AFH Q1,,
301834,Capex,Chapter 3,AFH Q1,,
201919,Opex,Chapter 2,PAAD - ADDITIONAL BUDGET,,
201931,Opex,Chapter 2,Additional Budget ,,
201932,Opex,Chapter 2,Sphere AD,,
201868,Opex,Chapter 2,AD Carnaval,,
202061,Opex,Chapter 2,Drones Service,,
202067,Opex,Chapter 2,ALC Digital Library,,
502026,Aids & Grants,Chapter 5,Abu Dhabi Music & Arts Foundation (ADMAF),,added 07.10.2025
402025,Subsidy,Chapter 4,Bassam Freiha Foundation,,added 07.10.2025
502012,Aids & Grants,Chapter 5,Higher Committee of Human Fraternity,,added 07.10.2025
500748,Aids & Grants,Chapter 5,Aliph Foundation,,added 07.10.2025
402066,Subsidy,Chapter 4,TDP,,added 07.10.2025
502175,Aids & Grants,Chapter 5,DCAD,,Added 1-06-2026
