Project ID,Accounting Period,Task ID,Expenditure Type,Budget,Budget Year,Update Date,Updated By
300000342565493,01-2026,100001475715610,421123 - Strategic planning consultancy  expenses,485088,2026,2026-01-22 08:08:12,ADGE_INTEGRATION_SVC_FIN
300000342565539,01-2026,100001475715638,424811 - Sponsorship expenses/contributions,10269708,2026,2026-03-25 13:44:18,ADGE_INTEGRATION_SVC_FIN
300000342565558,01-2026,300000491465552,424781 - Public relations expenses,290000,2026,2026-06-09 10:22:17,ADGE_INTEGRATION_SVC_FIN
300000342565558,01-2026,300000494510109,423821 - Business Travel - Per Diem Allowances,312579,2026,2026-06-09 10:22:17,ADGE_INTEGRATION_SVC_FIN
300000342565558,01-2026,300000494510114,424761 - Entertainment and hospitality,52578,2026,2026-06-09 10:22:17,ADGE_INTEGRATION_SVC_FIN
300000342565558,01-2026,300000494510118,"422401 - Conferences, seminars, exhib ,events: -deactivate",1461316,2026,2026-06-09 10:22:17,ADGE_INTEGRATION_SVC_FIN
300000342565558,01-2026,300000494510122,424221 - Events - Production costs,3766465,2026,2026-06-09 10:22:17,ADGE_INTEGRATION_SVC_FIN
300000342565558,01-2026,300001179037891,424131 - License Fee support - Related business,633161,2026,2026-06-09 10:22:17,ADGE_INTEGRATION_SVC_FIN
300000342565592,01-2026,300000491628778,424221 - Events - Production costs,50000,2026,2026-05-18 05:57:53,ADGE_INTEGRATION_SVC_FIN
300000342565592,01-2026,300000491628785,491711 - Furniture & Fixtures - Offices - Capital Expenditure,150000,2026,2026-05-18 05:57:53,ADGE_INTEGRATION_SVC_FIN
300000342565592,01-2026,300000491628790,424761 - Entertainment and hospitality,188718,2026,2026-05-18 05:57:53,ADGE_INTEGRATION_SVC_FIN
300000342565592,01-2026,300000491628794,423821 - Business Travel - Per Diem Allowances,360000,2026,2026-05-18 05:57:53,ADGE_INTEGRATION_SVC_FIN
300000342565592,01-2026,300000491628799,424131 - License Fee support - Related business,365000,2026,2026-05-18 05:57:53,ADGE_INTEGRATION_SVC_FIN
300000342565592,01-2026,300000491628803,"422401 - Conferences, seminars, exhib ,events: -deactivate",412347.85,2026,2026-05-18 05:57:53,ADGE_INTEGRATION_SVC_FIN
300000342565592,01-2026,300000491628820,491811 - Heritage culture assts,1500000,2026,2026-05-18 05:57:53,ADGE_INTEGRATION_SVC_FIN
